round,label,study,year,journal,accession,repo,access,disease_entities,n_ctcl_patients,modality,whole_transcriptome,scope_verdict,action,blocking_check,priority,notes,evidence_url
4,R4_06,Chinese GSA-Human CTCL landscape - axis closed,-,-,HRA000166; HRA000847; HRA000826; HRA000145; HRA007111,GSA-Human,controlled/unverified,"MF, SS",-,scRNA + scATAC + WES,yes,NO NEW COHORTS FOUND,NO ACTION,none,12,"Searched GSA-Human/NGDC for additional Chinese CTCL cohorts. Only Liu 2022, Xue 2022 and Zhao 2025 surfaced - all already tracked. Axis closed to the limit of literature search.",https://pmc.ncbi.nlm.nih.gov/articles/PMC12807729/
3,R3_01,"Meledathu/Brunner, LyP vs advanced-stage CTCLs",2026,Blood Adv 10(14):5163-5181,NOT LOCATED,likely GEO,likely open,"LyP (CD4+/CD8+/TCRgd+), CD4+ MF, pcAECyTCL, TCRgd+ MF",not stated,scRNA-seq + TCR,yes,IN SCOPE,CHASE ACCESSION,Confirm deposit; same lab as GSE266862/GSE247047 so overlap with D1 likely declared,1,PUBLISHED JULY 2026 - AFTER the 2026-06-03 sweep. This is the post-sweep dataset. LyP entirely absent from corpus. aCTCL arm is all documented-lethal-outcome cases: an outcome-anchored comparison the corpus lacks.,https://doi.org/10.1182/bloodadvances.2025017533
3,R3_02,"Chennareddy/Brunner, chronic idiopathic erythroderma",2025,J Allergy Clin Immunol 155(3):892-908,NOT LOCATED,likely GEO,likely open,"eCTCL (8), CIE (5), AD (15), psoriasis (10), HC (20)",8,scRNA-seq + TCR (blood + skin),yes,IN SCOPE,CHASE ACCESSION,Vienna/Mount Sinai - expect declared overlap with GSE173205/GSE222840/GSE266862,2,8 erythrodermic CTCL cases with paired blood+skin. Distinct from the Chennareddy paper already in atlas as D1 (GSE266862). Doc tracks only one Chennareddy study.,https://pubmed.ncbi.nlm.nih.gov/39694280/
3,R3_03,"Costanza et al., CD74 as therapeutic target in CTCL",2025,not confirmed,NOT LOCATED,unknown,unknown,"SS, MF, LyP, pcALCL",10,scRNA-seq + TCR + CODEX + DNA methylation,yes,IN SCOPE,CHASE ACCESSION,none,3,Covers LyP and pcALCL - entities absent from corpus. CODEX multiplex imaging is an extra modality. NOTE cross-project: CD74 is on your fixed-exclusion list as a read-out not a target; this is the human-side evidence base for that call.,https://www.mdpi.com/2072-6694/17/17/2921
3,R3_04,"Luo et al., CDK9 in CTCL",2024,not confirmed,NOT LOCATED,unknown,unknown,"MF, SS",20,scRNA-seq + bulk RNA-seq + proteomic screening,yes,IN SCOPE - VERIFY,CHASE ACCESSION,Review describes it as analysing publicly available scRNA-seq - confirm whether new patients or reanalysis,3,20 patients is large. NOTE cross-project: CDK9/RARalpha/HUWE1 axis sits adjacent to your CDK6 top-tier target; CDK9-PROTAC + ATRA synergy is a scheduling-window result of the same shape as your BCL2 finding.,https://www.mdpi.com/2072-6694/17/17/2921
3,R3_05,"Ren/Girardi, integrated transcriptome and trajectory analysis - precancer populations",2023,Blood Adv 7(3):445-457,NOT LOCATED,unknown,unknown,"MF, SS (blood)",11,scRNA-seq + TCR + PHATE + CNV + SNV + WES + WGS,yes,IN SCOPE,CHASE ACCESSION,Yale/Girardi cohort - check overlap vs B1/B2/H,4,Putative circulating precancerous intermediate CD4+ population; CD82 and JAK as targets. Paired WES/WGS. Blood compartment.,https://doi.org/10.1182/bloodadvances.2022008168
3,R3_06,"Harro et al., CTCL origin from mutated hematopoietic progenitors",2023,not confirmed,NOT LOCATED,unknown,unknown,"MF, SS",7,scRNA-seq + TCR + scATAC-seq + qPCR + WES,yes,IN SCOPE,CHASE ACCESSION,Harro is a Song 2022 co-author (Moffitt) - check patient overlap vs PRJNA754592,4,HIGHEST CROSS-PROJECT RELEVANCE: reports 200+ mutations in hematopoietic stem cells from SS patients and argues CTCL originates from mutated lymphocyte progenitors post-thymic-egress. Directly parallel to your HSPC framing in the mouse arm. Also adds scATAC.,https://www.mdpi.com/2072-6694/17/17/2921
3,R3_07,"Cabrera-Perez et al., IL-4R/IL-13RA1 keratinocyte alterations",2025,not confirmed,NOT LOCATED,unknown,unknown,Advanced CTCL,5,scRNA-seq + bulk RNA-seq,yes,IN SCOPE,CHASE ACCESSION,none,5,Dupilumab mechanism - relevant to B4 geskin26 which is the dupilumab cohort already in the atlas. Small (5 pts).,https://www.mdpi.com/2072-6694/17/17/2921
3,R3_08,"Shi et al., folliculotropic MF fibroblast cluster",2024,not confirmed,NOT LOCATED,unknown,unknown,"MF, folliculotropic MF",2,scRNA-seq,yes,LOW INCREMENT,DEFER,none,6,FMF-specific fibroblast cluster. Only 2 patients but FMF is an MF variant not otherwise represented.,https://www.mdpi.com/2072-6694/17/17/2921
3,R3_09,"Gao et al., PD-1 inhibitor hyperprogression case",2023,not confirmed,NOT LOCATED,unknown,unknown,Advanced MF,1,scRNA-seq + TCR + WGS + WES + FC,yes,LOW INCREMENT,DEFER,none,7,n=1 case report. PRKCQ somatic mutation. Mechanistic interest only.,https://www.mdpi.com/2072-6694/17/17/2921
3,R3_10,"Jiang/Akilov, deciphering tumor cell evolution MF vs SS",2024,J Invest Dermatol,NOT LOCATED,unknown,unknown,"MF, SS",25 (18 SS),TARGETED single-cell transcriptomics + high-throughput TCR,NO - 19-gene targeted panel,EXCLUDE (targeted panel),DOCUMENT EXCLUSION,none,8,"Falls under the existing exclusion rule used for Buus 2018 (targeted pre-droplet panel not whole-transcriptome). Correctly excludable - but was never evaluated, so record the decision. Used GSE171811 / GSE128531 / GSE132509 as external validation.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11034798/
3,R3_11,"Jiang/Akilov, dysfunctional monocytes in SS",2024,not confirmed,NOT LOCATED,unknown,unknown,"MF, SS (relapsed/refractory)",9,scRNA-seq + TCR + custom gene panel + phagocytosis assay,NO - custom panel,EXCLUDE (targeted panel),DOCUMENT EXCLUSION,none,8,Same exclusion basis as R3_10. NOTE cross-project: monocyte dysfunction and anti-CCR4 + IFN-alpha2a synergy on phagocytosis is directly adjacent to your myeloid/CCC arm.,https://www.mdpi.com/2072-6694/17/17/2921
3,R3_12,"Calugareanu et al., nonlymphocytic cutaneous microenvironment",2023,J Invest Dermatol,GSE128531; GSE147424; GSE132802,GEO,open,"Advanced MF, eMF, SS, pcAECyTCL",5,scRNA-seq (reanalysis only),n/a,NO NEW DATA,NO ACTION,none,9,Pure reanalysis of GSE128531 (=D6) plus AD/DIHS controls. Correctly absent.,https://www.sciencedirect.com/science/article/pii/S0022202X23019863
2,R2_01,"Dorando/Payton, multiomic CTCL clonal evolution",2026,Blood 147(21):2503-2517,GSE132053; GSE290264; GSE290557; Zenodo 17537147; Zenodo 17517259,GEO+Zenodo,open,CTCL (skin+blood+LN serial),34,scRNA + scTCR + bulk RNA + WES + WGS + epigenome,yes,IN SCOPE,FETCH,"Barcode overlap vs B1 GSE124899 and B2 GSE146586 - shared WashU clinic, Borcherding co-author",1,99 serial samples / 34 patients. Doc lists as deposit pending. Published values differ from preprint (35pt/114samp).,https://doi.org/10.1182/blood.2025029012
2,R2_02,"Alkon/Chennareddy, parapsoriasis disease group",2024,J Allergy Clin Immunol,GSE247047,GEO,open,"parapsoriasis (SPP/LPP), esMF, AD, psoriasis, HC",7,scRNA + scTCR (TCRB/TCRG),yes,IN SCOPE,FETCH,Declared partial overlap with GSE173205 and GSE222840,2,Parapsoriasis-to-esMF spectrum. Fills the early-stage gap; corpus is advanced/leukemic dominated.,https://www.jacionline.org/article/S0091-6749(24)00942-4/fulltext
2,R2_03,"Gaydosik/Fuschiotti, MF cutaneous microenvironment",2023,JCI Insight 8(19):e170015,GSE206123; GSE182861,GEO,open,Advanced MF,10,scRNA-seq (whole-skin unsorted),yes,IN SCOPE,TRIAGE,Sample ID + barcode overlap vs D6 GSE128531,3,Absent from doc entirely. Whole-skin design gives stromal/myeloid coverage CD3-sorted deposits lack.,https://insight.jci.org/articles/view/170015
2,R2_04,"Jung et al., spatially resolved single-cell MF",2025,Mod Pathol 38(3):100681,NOT LOCATED,unknown,unknown,"MF patch, psoriasis, chronic spongiotic dermatitis",8,CosMx SMI (single-cell-resolution spatial),NO - targeted panel,RECLASSIFY,CHASE ACCESSION,Confirm deposit exists; contact uucm79@hanmail.net,4,Doc section 3 excludes spatial via a GeoMx ROI-pseudobulk rule that does not apply to CosMx. Would be the only single-cell-resolution spatial CTCL data; addresses the 55um Visium caveat in section 5.,https://pubmed.ncbi.nlm.nih.gov/39675427/
2,R2_05,"Song et al., transformed CTCL - partial absorption by Li",2022,Cancer Discov 12(5):1294-1313,PRJNA754592,SRA,open,transformed CTCL,56 total / 16 scRNA,scRNA (GEX only; VDJ BAMs unusable),yes,PARTIAL GAP,ENUMERATE,Map GEX channels to donors; Li MDA sub-cohort is only 8 donors,5,Li absorbed ~8 of 16 scRNA biopsies. Section 2 excludes Song assuming full absorption.,https://pmc.ncbi.nlm.nih.gov/articles/PMC9148441
2,C1,"Su/Khodadoust, pembrolizumab response in Sezary syndrome",2022,OncoImmunology 11(1):2115197,phs002933.v1.p1,dbGaP,controlled,SS,6,scRNA + scTCR,yes,ALREADY LISTED - MISATTRIBUTED,FIX ATTRIBUTION,"Doc credits this to Gaydosik 2022 - it is Su et al., Stanford, Khodadoust corresponding",6,Wrong PI on a dbGaP application = rejection. Check medRxiv 2022.03.29.22272994 supplement first.,https://www.tandfonline.com/doi/full/10.1080/2162402X.2022.2115197
2,C2,"Rindler, markers of disease progression",2021,Mol Cancer 20:124,GSE173205,GEO,open,MF,-,scRNA,yes,RESOLVED - IS A LI INPUT,NO FETCH,Grep Li object for Rindler sample IDs: integrated or comparison-only?,1,Li 2024 data availability explicitly lists GSE173205. Section 2 is CORRECT; section 1c four-sub-cohort table is INCOMPLETE.,https://www.nature.com/articles/s41590-024-02018-1
2,C3,Chennareddy overlap edges (D1),2025,Br J Dermatol 192(2):269,GSE266862,GEO,open,"CD4+ MF, TCRgd MF, pcAECyTCL",14,scRNA + scTCR,yes,IN ATLAS - OVERLAP UNDOCUMENTED,DEDUP CHECK,D1 declares overlap with GSE173205 AND GSE222840. GSE173205 is a Li input -> potential D1<->Li Layer1/Layer2 collision,1,"Highest-priority dedup check in the corpus, ahead of any new ingest.",https://academic.oup.com/bjd/article/192/2/269/7731781
2,C4,Human breast skin scRNA-seq (Li reference input),-,-,E-MTAB-8142,ArrayExpress,open,healthy skin,-,scRNA,yes,OUT OF COHORT SCOPE,LEDGER ONLY,none,7,Used by Li as reference. Section 2's inventory of Li inputs is incomplete without it.,https://www.nature.com/articles/s41590-024-02018-1
2,CONF_1,"Alkon, chronic nodular prurigo vs AD",2023,J Allergy Clin Immunol,GSE222840,GEO,open,"prurigo, AD, HC",0,scRNA,yes,OUT OF SCOPE (not CTCL),DEDUP REFERENCE ONLY,none,8,Correctly absent as a cohort. Matters as the HC dedup reference for D1 and GSE247047.,https://www.jacionline.org/article/S0091-6749(23)00607-3/fulltext
2,CONF_2,"Childs/Aguilera, Sezary single-cell profiling",2025,medRxiv 2025.05.20.25327833,PENDING,GEO (promised),pending,"SS, leukemic MF",22 (8 in-house),scRNA + scTCR + CITE,yes,LOW INCREMENT,DEFER,Deposits at peer-reviewed publication - not yet there,9,Reuses GSE146586 / GSE171811 / GSE165623 - all already in atlas. Real increment 8 patients.,https://www.medrxiv.org/content/10.1101/2025.05.20.25327833v1
2,CONF_3,"Ng, early-stage MF vs AD markers",2026,Exp Dermatol 35(4):e70240,NONE (reanalysis),-,-,"esMF, AD, HC",-,scRNA + scTCR (reanalysis),n/a,NO NEW DATA,NO ACTION,none,10,Reanalysis of the Alkon cohort. Reinforces GSE247047 as the underlying target.,https://onlinelibrary.wiley.com/doi/10.1111/exd.70240
2,CONF_4,"Johnson/Timp, CAF subtypes in MF",2025,medRxiv 2025.09.07.25335167,NONE,-,pending,MF,4,scRNA,yes,LOW INCREMENT,DEFER,none,11,Still preprint-only. 28902 cells / 4 MF + 1 HC. ~2.5% of corpus. Doc entry D2 accurate.,https://www.medrxiv.org/content/10.1101/2025.09.07.25335167v1
2,CONF_5,"Zhao, CAFs interact with malignant T cells in MF",2025,Front Immunol 15:1474564,HRA007111,GSA-Human,tier unverified,MF,2,scRNA,yes,LOW INCREMENT,DEFER,Access tier still unconfirmed,11,2 MF patients + 1 HC. Small relative to GSA application overhead.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11830738/
2,CONF_6,"Xue, single-cell analyses of CTCL",2022,Cell Death Dis,HRA000847; HRA000826; HRA000145,GSA-Human,controlled,SS,1,scRNA + scATAC,yes,AS DOCUMENTED,NO CHANGE,none,12,Accessions confirmed exactly as recorded in doc section 3.,https://www.nature.com/articles/s41419-022-05323-5
2,CONF_7,Borcherding B1/B2 nesting,2019/2023,Clin Cancer Res / Blood Adv,GSE124899; GSE146586,GEO,open,SS,6,scRNA + scTCR,yes,AS DOCUMENTED,NO CHANGE,none,12,Borcherding 2023 lists BOTH accessions. Doc's handling is correct.,https://ashpublications.org/bloodadvances/article/7/3/321/484633/
2,CONF_8,Li TRUST4 V(D)J recovery validated,2024,Nat Immunol 25:2320,PRJNA754592,SRA,open,CTCL,-,scRNA GEX; TCR re-derived,yes,VALIDATED,KEEP IN WRITEUP,none,12,Li's own methods confirm only GEX was usable because authors deposited BAMs. Your 13025 mined cells are genuinely novel vs the published atlas.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11588665/
